site_number;trn_transaction_date;trn_promotion_id;trn_item_number;units;gross_amount;vat;cost_price
210845;2017-08-25;0;1098560;3.0;51.0;10.2;26.160000000000004
210870;2017-08-25;0;1098817;1.0;17.0;3.4;8.04
210870;2017-08-25;0;1038229;8.0;80.0;16.0;45.36
210845;2017-08-25;0;1036903;7.0;70.0;14.0;30.16
210929;2017-08-25;0;1038229;7.0;70.0;14.0;52.92
210845;2017-08-25;0;1038466;6.0;144.0;28.8;36.21
210350;2017-08-25;0;1036103;4.0;40.0;8.0;34.36
210870;2017-08-25;0;1098560;5.0;85.0;17.0;43.6
210929;2017-08-25;0;1036513;2.0;20.0;4.0;15.3
210929;2017-08-25;0;1110347;2.0;40.0;8.0;21.26
210240;2017-08-25;0;1036903;18.0;180.0;36.0;30.16
210929;2017-08-25;0;1098674;3.0;75.0;15.0;39.18
210240;2017-08-25;0;1038229;2.0;0.0;0.0;15.12
